id,text,ann1_lv1,ann1_lv2,ann1_lv3,ann2_lv1,ann2_lv2,ann2_lv3,keyword,source,title,label
###,可以打破但很难必须结婚之前自己把自己治愈自己要头脑很清楚能认识到自己的缺点正视自己很明事理很多人做不到很多人都在等待另一半的治愈和救赎但其实没人有义务救赎另一个人,1,3,2,1,3,2,妇女,微博,,1
###,好多家庭为了买房少付首付会假离婚的允悲],1,3,2,1,3,2,单亲家庭,微博,,1
###,有人见不得给弱势地位群体发钱的,1,2,,1,2,,弱势地位群体,微博,,0
###,刘鑫本来就是陈世峰要杀的人允悲],0,,,0,,,妇女,微博,,0
###,不会，说句心里话，我甚至一直觉得单亲家庭的孩子都更优秀，可能是因为我知道的都很优秀,1,3,4,1,3,4,单亲家庭,微博,,0
###,儿子真孝顺，你爸都不要你了，还给他送终！,1,1,,1,1,,单亲家庭,微博,,0
###,所以你是你自己的上帝，自己给自己开工资,1,3,4,0,,,伤残人员,微博,,0
###,不该劝，今后但凡有一点问题都会怨在你头上,1,2,,1,2,,老人,微博,,0
###,那你不要觉得很容易好吧,1,2,,1,2,,伤残人员,微博,,0
###,线下问过几位，医生没有给建议，说让自己决定,0,,,0,,,老人,微博,,0
###,生病和饿的孩子，对社达而言是可以救的，因为那是外部因素导致的。不是这个孩子自己的问题,1,3,2,1,3,2,儿童,微博,,1
###,我所见。一对小情侣女孩双全男孩爸妈离婚后各自组建新家男孩随外婆长大外婆婚前过世。婚礼的时候亲生爸妈匆匆现身匆匆离场。男孩唯有一个阿姨作为亲属。就，还挺凄惨的。,1,3,2,1,3,2,单亲家庭,微博,,1
###,谁说只是网上的，我身边也有好几例还是福建省，有关系的有钱人拿低保、拿政府给大学生的创业补贴。,1,1,,1,2,,弱势地位群体,微博,,0
###,这种情况村里如果有人看不惯可以去举报赞],1,3,2,1,3,2,伤残人员,微博,,1
###,可能只是因为离婚率太高笑cry],0,,,0,,,妇女,微博,,0
###,这是摆拍吧？这一定是摆的,1,2,,1,2,,弱势地位群体,微博,,0
###,笑死，难道那些拿着低保开着豪车的人就是低收入？,1,1,,1,1,,伤残人员,微博,,0
###,地摊是底层人的一条生路抱抱],1,3,3,1,3,4,伤残人员,微博,,0
###,年年开两个会，这个怎么不立法,1,2,,1,2,,弱势地位群体,微博,,0
###,我们这低保好难，要各种证明，小时候困难的时候让妈妈去问过，要居委会开各种证明不是关系硬的不给盖章，我同学家里小轿车坐着小洋楼住着天天吃低保。,1,1,,1,1,,弱势地位群体,微博,,0
###,这其实是功利主义，如果跳出功利主义的话，我们根本不需要思考理由，直接去救就好了,1,3,2,1,3,2,儿童,微博,,1
###,真的是，小时候我妈做手术，我又是烫伤骨折，我妈就开始信佛了，有个心灵寄托吧！,0,,,0,,,弱势地位群体,微博,,0
###,你摔一跤都要人安慰？还是个几十岁的宝宝哦,1,2,,1,2,,伤残人员,微博,,0
###,自食其力，为这样的人点赞。,0,,,0,,,弱势地位群体,微博,,0
###,其实不一定是单亲，找对象父母都希望孩子找那种父母恩爱和睦的家庭，但其实不太多，没离婚很多也是凑合，男的都是甩手掌柜，没参与过孩子的成长，,1,3,3,1,2,,单亲家庭,微博,,0
###,不会，我就是，只要你自己心态摆正，正常的去生活别人伤不到你,0,,,0,,,单亲家庭,微博,,0
###,真的是撇开事实不谈啊，你不欠薪，完全可以报警抓他诈骗,1,3,1,1,3,1,弱势地位群体,微博,,3
###,这没有低保说不过去啊,1,3,3,1,3,3,弱势地位群体,微博,,0
###,爱国，是人世间最深层、最持久的情感，是一个人立德之源、立功之本。以热爱祖国为荣、以危害祖国为耻。以服务人民为荣、以背离人民为每日一善文案?以热爱祖国为荣、以危害祖国为耻。以服务人民为荣、以背离人民为耻。以崇尚科学为荣、以愚昧无知为耻。,0,,,0,,,弱势地位群体,微博,,0
###,缺有效药，特别是老人家的,0,,,0,,,老人,微博,,0
###,别生气。大家和平讨论。,0,,,0,,,单亲家庭,微博,,0
###,老家亲戚医生说医院走掉的老人，一多半都没有打过疫苗。,1,3,3,1,3,2,老人,微博,,1
###,我觉得会有两个极端一个是你说的这种一个是对家庭非常在意我老公就是另外一个极端非常不想走父母老路特别珍惜自己的家庭他说渴望有一个属于自己的家愿意用尽一切保护和爱我和孩子,0,,,0,,,妇女,微博,,0
###,现在的官媒都成了政府的狗腿子，反正一片欣欣向荣,1,1,,1,1,,弱势地位群体,微博,,0
###,在动物野兽的第一自然界并不存在什么qj或者种族大屠杀之类的伦理考量，一切都是为了生存和繁衍。因此社会达尔文主义如果只是作为一种解释性理论来解读一些事情发展背后的原理在某种程度某些事情上是可以说得通的，但不可以作为一种缺乏道德伦理考量的激进的规范性理论对社会进行约束和指导。以上。,1,3,2,0,,,儿童,微博,,0
###,tnnd还真是完全脱离现实啊,1,2,,1,2,,普通人,微博,,0
###,都是怕被报复呗。十几年前广州治安特别差，公车上经常看到一班人偷东西，看见了也不敢作声，每天都是那班车每天都能遇见那班团伙，怎么可能不怕被报复。,1,3,1,1,3,1,普通人,微博,,3
###,怎么感觉似曾相识，我好像几个月前也看过这个新闻,0,,,0,,,老人,微博,,0
###,不，我们最优秀的师兄去年被大厂辞退，找了一年工作了单身狗],0,,,0,,,普通人,微博,,0
###,多少有点儿影响，因为经历过原生家庭破裂，心里会默认婚姻关系本来就不是一个坚不可摧的关系，不会特别坚定的走下去。,1,3,2,1,3,2,妇女,微博,,1
###,双亲健在的如果人品不好就是双倍烦恼哈哈哈哈哈哈哈哈哈哈哈哈哈,1,3,1,1,3,1,单亲家庭,微博,,3
###,我昨天发的评论可能被系统删掉了，我想再强调一下养老金如果敢弄到一起张献忠，李自成就会全加上。,0,,,1,2,,弱势地位群体,微博,,0
###,吉林省松原市乾安县中心街楼盘完工后近十年不交付，普通人买楼多年不能住，拖欠工程款，开发商孟二刚逃避交房，拿房子去抵押贷款，普通人多年讨要说法，找到县政府也一直没有解决拖来拖去，我们质疑县政府官商勾结，希望给普通人一个说法，多少普通人的血汗钱买了这个楼，有的人去世也没捞着住上！,1,1,,1,1,,弱势地位群体,微博,,0
###,不煽动就不会回复？,1,2,,1,2,,普通人,微博,,0
###,只要有人，问题就会一直有，没有绝对，只有相对,0,,,0,,,弱势地位群体,微博,,0
###,历朝历代底层永远都是韭菜，是被利用的手纸。,1,3,2,1,3,2,弱势地位群体,微博,,1
###,可怜之人必有可恨之处,1,2,,1,2,,弱势地位群体,微博,,0
###,单亲的家长对孩子的控制欲比较强，自己一个人养大孩子很容易把孩子视为自己的所有物，因为付出太大了。尤其是单亲妈妈养大儿子，容易对儿媳产生天然的敌意，就好像千辛万苦的养大一棵果树被别人摘了果子,1,3,2,1,3,2,单亲家庭,微博,,1
###,精英主义是这个世界最大的骗局,1,1,,1,1,,儿童,微博,,0
###,没领证就不是家暴了吧故意伤害可以一并处理吗？,1,3,1,1,3,3,妇女,微博,,1
###,无劳动能力，怎么劳动？,1,2,,1,3,3,伤残人员,微博,,0
###,再来闹，控制你软肋笑而不语],1,2,,1,2,,弱势地位群体,微博,,0
###,那些可不是单人的，水军号很多的,0,,,0,,,伤残人员,微博,,0
###,不至于危害，纯属个人选择，就跟有人一定要找本地户口，不要外地人；有人在意才，有人偏爱财，有人觉得颜值胜过一切。,0,,,0,,,单亲家庭,微博,,0
###,人日的堂食可能是吃的太好了又不用花自己的钱吧，为了大家好，建议人日放开堂食让打弱势地位群体去吃，十块一餐大家肯定会给你的,1,1,,1,1,,普通人,微博,,0
###,是的我怀疑就是自己在手机里看到了些皮毛就觉得这个世道跟她想的一样纯净,1,1,,1,1,,伤残人员,微博,,0
###,这是个双向选择的问题吧没必要说人家父母啊这波言论确实有点过分,1,2,,1,2,,单亲家庭,微博,,0
###,我爹妈感情很好，我天天想离婚，我妈劝我天下乌鸦，一般黑,1,2,,1,2,,妇女,微博,,0
###,我觉得还是疫情政策有问题，就像猴痘也是非常危险的一类传染病，得了也会及时就诊，但是这种疫情政策下，新冠其实攻击力越来越弱了，大家也不会想去就诊，能瞒则瞒,1,3,2,1,3,2,普通人,微博,,1
###,问题是他们贫穷和苦难是因为他们自己吗，苦难本身就是社会不公的反应。风水轮流转，谁家几百年前不是大族，谁都有失去权势（或者老了）的一天。,1,3,1,1,3,1,儿童,微博,,3
###,双方父母是越不过的坎,1,3,2,1,3,2,单亲家庭,微博,,1
###,咱也不知道，反正人家每年领钱,1,2,,1,2,,伤残人员,微博,,0
###,说的不管，管的不说并不简单],1,2,,1,2,,普通人,微博,,0
###,自己一点意识都没有，还指望别人，看样子不会长教训,1,2,,1,2,,普通人,微博,,0
###,以前大家觉得单亲家庭长大的孩子心理可能有点缺失，不过以后单品家庭孩子会越来越多doge],1,3,3,1,3,2,单亲家庭,微博,,1
###,叔晚间时间到了该睡觉了，祝你一夜无梦月亮],0,,,0,,,单亲家庭,微博,,0
###,人的本能是自利的，她不肯离开，说明留下来于她而言利大于弊。所以咱们省省口水。,1,3,2,1,3,2,妇女,微博,,1
###,孩子会这样难道不是因为周围的人都在嘲讽他伤害他造成的吗？跟人家庭有什么关系,1,2,,1,2,,单亲家庭,微博,,0
###,如果有家属在旁边照顾不一问就知道是哪个老人了吗，现在这种老人应该是昏迷的，老人的信息估计只能从养老院获得，家属来看也没有异议,1,3,1,1,3,2,老人,微博,,2
###,初中，你这掐头去尾猜的允悲],0,,,0,,,单亲家庭,微博,,0
###,仅我所见。父母亲属和睦，孩子性格大多自信开朗遇事豁达乐观愿意面对问题。单亲孩子相对敏感脆弱一些。需要小心呵护情绪仅我所见，并不代表所有人）,1,3,2,1,3,2,单亲家庭,微博,,1
###,这个钱只是保证你不被饿死，其他生活就别想了吧笑cry],1,2,,1,2,,伤残人员,微博,,0
###,又来又来了，下次你摔了一跤却没人安慰的话，就去联合国说人道关怀不够吧,1,2,,1,2,,伤残人员,微博,,0
###,不是接受不了是歧视吧，可是这有什么可歧视的呢哆啦A梦害怕],0,,,0,,,单亲家庭,微博,,0
###,就是想哭，止不住的流，就觉得大哥很不容易，但还是很努力的生活，善良的人很多很多，大家都是在努力的生活，又心怀爱心，,1,3,3,1,3,4,弱势地位群体,微博,,0
###,6啊对女人最爱用的手段就是造黄谣了,1,1,,1,1,,妇女,微博,,0
###,有一次我在前面走，有个小偷在后面拉我包，路边的商家就在那看，我感觉走不动回头一看吓的我用手臂再他身上打了一下，那个小孩就走了，商家还说风凉话，说是小孩我才敢打一下，,1,1,,1,1,,普通人,微博,,0
###,多婚，未婚生子啥的，赶紧逃。,0,,,0,,,妇女,微博,,0
###,我毫不犹豫的选择救人，只是因为我“同情人不是冷血动物，有善有恶而已，性本善就是我们帮助的理由啊！不涉及考虑和思量的纯自我感动行为罢了,1,3,1,1,3,3,儿童,微博,,1
###,跟明抢有区别吗？,1,2,,1,2,,普通人,微博,,0
###,立法讨薪违法，都抓起来就没人讨薪了打call],1,1,,1,1,,弱势地位群体,微博,,0
###,岳母是我老师。老师家关系特别好，和睦轻松。平时特别喜欢开玩笑。老师给我们讲，有一次老师的爱人跟老师开玩笑说，在你手底下讨生活太难了我要造反起义！女婿在旁边听到后默默进屋跟她女儿大发脾气说你爸妈不尊重我。因为我也是在她手底下讨生活的。,0,,,0,,,单亲家庭,微博,,0
###,是的没有调查就没有发言权,0,,,0,,,普通人,微博,,0
###,好多年前就有妈妈给女儿的择偶建议中的一条就是不要找单亲家庭尤其是没有父亲的男孩,1,3,2,1,3,2,单亲家庭,微博,,1
###,可以主动咨询残联，询问是否有相关企业需要，取决于你们当地经济发展，如果压根没有什么好企业或者残疾人数＞人家需要的数，那就没办法，,1,3,2,1,3,2,伤残人员,微博,,1
###,不是，这是宣传部门的问题。这些宣传不统一口径，舆论战场，你不占领敌人就回会占领。正确的不占领，错误的就会占领,1,3,2,0,,,老人,微博,,0
###,讲实话就是，看不上你的不止单亲家庭。看不上你的点太多了。但是说一个你绝对无法改变的点。让你知难而退。一万块钱卖一碗豆浆。目的不是为了赚钱。是为了劝退。,1,2,,1,3,1,单亲家庭,微博,,3
###,是的，我接触过的大部分也是这样，并且如果是父母离异又各自组建了家庭的，那真的更是一团糟，我身边有个朋友就是，父母一个指望不上还天天吵架问她要钱，她在我面前都哭过好几次了，好在她婆家特好，很疼她,1,2,,1,2,,单亲家庭,微博,,0
###,我爸妈生长环境都和离异差不多，爷爷奶奶姥姥姥爷都是分居各住各的，我爸妈倒是感情不错。,0,,,0,,,妇女,微博,,0
###,我觉得硬件应该指身高长相，家室学历是软件,0,,,0,,,单亲家庭,微博,,0
###,让山东警方出警，行政拘留十五天。让他在号子里过年,1,3,1,1,3,1,弱势地位群体,微博,,3
###,这种人没有低保，是某些人的失职,1,2,,1,2,,弱势地位群体,微博,,0
###,你说的不是事实，我老家农村的亲戚人人有养老医疗，他们没有跟任何人送礼。更不用说有疾病的人了！,0,,,0,,,弱势地位群体,微博,,0
###,国企和事业编公务员教师编不一样，国企是企业和私企是一样的，因为国企倒闭所以弱势地位群体失业，教师公务员事业编允悲],0,,,0,,,普通人,微博,,0
###,不要只说自己打疫苗出问题，因为你是少少数，除非你身边很多人出现你这样的情况在香港几乎人人打三针，身边的亲人朋友打疫苗都没事。中过，都杨康了。当然，每天都有几十个死亡的。,1,3,1,1,3,1,老人,微博,,3
###,大概是技术威权/极权主义的一种委婉说法？大概,0,,,0,,,弱势地位群体,微博,,0
###,最恶心的是有些人把战乱风格的建筑说成是叙利亚风汗],1,2,,1,2,,弱势地位群体,微博,,0
###,单亲的小孩倒是不好说就是爸妈如果都各自结婚了的话那关系大概率很难处,1,3,2,1,3,2,单亲家庭,微博,,1
###,学校不会，我之前最好的朋友就是单亲家庭，一起六个人三个女孩都是，学校里都正常,0,,,0,,,单亲家庭,微博,,0
###,医院错了，家属就无问题?就像一辆电动车被撞了，如果戴头盔就不会死，但他没戴，然后死了，你说他活不活该?别人是能赔他钱，但他能复活吗？,1,1,,1,1,,老人,微博,,0
###,脱离群众越来越远讲话越来越轻飘飘鄙视],1,2,,1,2,,普通人,微博,,0
###,是啊，不懂评论为什么指责孩子，他攒钱又不是为了买游戏机苦涩,1,3,2,1,3,3,单亲家庭,微博,,1
###,我的损失折合已经接近一万了，就算是没有给小偷有惩戒作用，最起码抓到小偷，能把我的损失找回来吧。我也不是要惩罚小偷，我只是要找回来的损失。可是这么多年过去了，依然没有找回来，警察拿着人民交的税，却没有帮人民做事，难道只有出了人命的才叫事。,1,1,,1,1,,普通人,微博,,0
###,救，只是因为ta是人类而已。,1,3,2,1,3,3,儿童,微博,,1
###,打击恶意讨薪，还老赖一个公平法治社会,1,1,,1,1,,弱势地位群体,微博,,0
###,要我也买完，吃不完煮水喝,0,,,0,,,弱势地位群体,微博,,0
###,确实，各人有各人的要求，能协调就协调，不能协调就换一个咯，这样咒别人父母挺恶心的,1,2,,1,2,,单亲家庭,微博,,0
###,骂官方为什么不给低保，赶紧把人社保停了低保给起来doge],1,2,,1,2,,伤残人员,微博,,0
###,天啊～他们是一伙的吗，看到都不提醒，太过分了，我手机也是在市场被人偷走了，报警警察也没及时来到现场，那到处都是监控都不来看，报警还以为有一点希望，没想到警察管都不管你，就立个案就说一周后等通知，打电话问进展态度还非常不好说有情况会通知，现在警察真的只是吃着国家饭，不管国家公民的,1,1,,1,1,,普通人,微博,,0
###,可惜人懂得比动物多黑线],1,1,,1,1,,儿童,微博,,0
###,但我这很多贫困户确实拿了低保,0,,,0,,,弱势地位群体,微博,,0
###,有视频，警察叔叔还不行动,0,,,0,,,普通人,微博,,0
###,我闺蜜还特别跟我说，不要跟小时候就单亲，还一直不再婚的人的孩子交往。她前夫就是，俩人结婚期间，她跟婆婆有任何问题，她老公都是那句话，他妈付出太多了，他妈特别辛苦汗],1,3,2,1,3,2,单亲家庭,微博,,1
###,现在离婚率本来就很高很高了,0,,,0,,,妇女,微博,,0
###,低保都被关系户吃了？,1,1,,1,1,,弱势地位群体,微博,,0
###,嗯呢，匿名不优先处理的意思就是连个电话都不会给你回笑cry],1,2,,1,2,,伤残人员,微博,,0
###,还警情通报，直接说我为欠薪护航得了,1,2,,1,2,,弱势地位群体,微博,,0
###,就是懒惯了，没了老公活不下去才拿孩子当借口,1,2,,1,2,,妇女,微博,,0
###,这是什么阴间离大谱的新闻,0,,,0,,,老人,微博,,0
###,我姥爷姥娘已经打完第四针了允悲],0,,,0,,,老人,微博,,0
###,低保本就是没有工作能力的无收入低收入家庭申领的啊,1,3,3,1,3,3,伤残人员,微博,,0
###,谁让他们没有按专家意见把闲置房屋出租，然后开闲置车辆去跑滴滴，非要吃那么多苦,1,1,,1,1,,普通人,微博,,0
###,笑死，你要不要看看你在说啥,1,2,,1,2,,儿童,微博,,0
###,您别总待在胡同里，去农村走走看看。,1,2,,1,2,,普通人,微博,,0
###,全民发钱比较好，能够减少腐败，公开发，数字人民币，大家都知道自己发了多少钱。,1,3,2,1,3,2,弱势地位群体,微博,,1
###,立案？你想多了，根本不可能的，最后要查破案率的，谁没事会降低自己的业绩,1,3,1,1,3,1,普通人,微博,,3
###,又没结婚揍几顿怎么了怒],1,3,1,1,3,1,妇女,微博,,3
###,不是婚恋自由吗，人家不接受也很正常啊,1,3,1,1,3,1,单亲家庭,微博,,3
###,钱再多给点，说不定还能陪农民工玩玩躲猫猫的游戏呢。,1,2,,1,2,,弱势地位群体,微博,,0
###,单亲妈妈？爸爸已经过世的了吧,0,,,0,,,单亲家庭,微博,,0
###,警J有个规定，经济财产纠纷不能参与，只会让你走法院，借钱不还的那种也不管，到哪都这样的维权成本变高，这种制度造成了一大批社会矛盾,1,3,2,1,3,2,弱势地位群体,微博,,1
###,被欠薪的人千千万，政府可曾管过,1,1,,1,1,,弱势地位群体,微博,,0
###,可能精神智力方面的确实不在范围，因为我了解到的是肢体方面有问题的,0,,,0,,,伤残人员,微博,,0
###,这个问题一直都存在，但没人愿意评论，想想原因吧。,1,2,,1,3,1,普通人,微博,,2
###,一路走好，给你也烧70万？,1,2,,1,2,,妇女,微博,,0
###,欠人家钱，不砍了你丫的算好了,1,2,,1,2,,弱势地位群体,微博,,0
###,明知故啥问？自己不会看评论记录？如果不会看那你装什么无辜二哈],1,2,,1,2,,伤残人员,微博,,0
###,已经这样了，你现在只是抱怨解决不了问题。如果男的挣钱少还一份钱不给你他自己潇洒不管你也不管孩子一天天总气你连个工具人都不配，你有工作能养孩子就离呗。要是你也不挣钱离婚更没钱孩子都养不起那你凑合过吧，没办法，只能想办法挣钱好好工作，别指望男人，也别指望离婚就有个好男人当饭票,1,2,,1,3,1,妇女,微博,,3
###,不会的，欺负人的不管是否单亲都是欺负你一般欺负老实的不反抗的。,1,3,2,1,3,2,单亲家庭,微博,,1
###,别的不说，我非常想去试试这种盒饭！到底哪里有啊,0,,,0,,,普通人,微博,,0
###,这样的媒体还让他活？他背后的领导阶级还不推倒？,1,1,,1,2,,普通人,微博,,0
###,用这个思路是不可能反驳他们的，因为在功利的角度他们确实是正确的。我们不这么做是因为我们有感情，有人性！,1,3,2,1,3,3,儿童,微博,,1
###,我高中同学，拿助学金，妈妈穿貂二哈],1,1,,1,1,,弱势地位群体,微博,,0
###,这世上哪来的恶意讨薪呢有也是恶意欠薪,1,3,2,1,3,2,弱势地位群体,微博,,1
###,你说的对，但作为一个普通人我们在了解事情真相的前提下，肯定会为自己的阶级同僚发声，尽可能减少这样欠薪的事情发生，,0,,,1,3,3,弱势地位群体,微博,,0
###,吓得我幸好我单亲家庭没对象没有这个困扰,0,,,0,,,单亲家庭,微博,,0
###,对啊尽量还是好好的啊，单亲都是没办法啊,1,3,2,1,3,2,单亲家庭,微博,,1
###,XBB进来疫苗作用也不大吧,0,,,0,,,老人,微博,,0
###,你懂不懂什么叫歧视啊悲伤],1,2,,1,2,,单亲家庭,微博,,0
###,救他是因为他首先是一个人,1,3,2,1,3,2,儿童,微博,,1
###,不如说我们认可的“有用”正是人本主义深层的来源，正是我们认可这一星一点的有用我们才认可每个人都有其独特的价值,1,3,4,1,3,4,儿童,微博,,0
###,传下去冬亚单亲家庭自己对号入座诅咒父母惹我自己拉黑你彩虹屁,1,2,,1,2,,单亲家庭,微博,,0
###,一会让多看看别人，一会又让多看看自己是吧，让你赢麻了耶],1,2,,1,2,,儿童,微博,,0
###,你不会真觉得内蒙很贫困吃不起饭吧，别人和你聊国与国之间恩格尔系数对比，你在这偷换概念用省和市来做对比，有你这么比的?我给的数据计算方法是食品支出占总收入比重，而通常恩格尔系数计算方法是食品支出占总消费比重。也就是你所谓广州比内蒙古高的计算方法,1,2,,1,2,,弱势地位群体,微博,,0
###,西方批评中东伊斯兰宗教保守时要不要想想是谁把中东的世俗政权们推翻了,1,1,,0,,,弱势地位群体,微博,,2
###,民事和刑事你分分清楚！别张嘴就来。,1,2,,1,2,,弱势地位群体,微博,,0
###,哪里的弱势地位群体这么不顾及祖国建设这不是往祖国伤口上撒盐么,1,3,1,1,3,1,弱势地位群体,微博,,3
###,好想给他一些帮助，看这个心里难受，还帮不上忙,1,3,3,1,3,3,弱势地位群体,微博,,0
###,这位有影响力的博主，你觉得这个算正当讨薪吗而且我可以说，我在各种公司干过，遇到过的“讨薪10个有10个都是这种类型,0,,,0,,,弱势地位群体,微博,,0
###,我老家村里几个残疾人都有低保，是不是说明我们村的村干部还不错,0,,,0,,,弱势地位群体,微博,,0
###,没看就火化还不算奇怪的，奇怪的是看了呀，但没认出来允悲],1,3,2,1,3,2,老人,微博,,1
###,就觉得有个收入就很谢天谢地了跪了],0,,,0,,,普通人,微博,,0
###,要是有低保应该就不能出来卖货了doge],1,2,,1,2,,伤残人员,微博,,0
###,低保户低保户，是以户为单位不是针对个人的，他只要没从父母家里分出去还在一个户口本上就必须考虑家庭平均收入,1,3,2,1,3,2,伤残人员,微博,,1
###,没有那么多想法，救他只是因为道德让我不能看着一个人在我面前死去,1,3,2,1,3,3,儿童,微博,,1
###,有没有可能你处的双亲家庭也会有问题但你不会把原因怪到双亲头上,1,3,3,1,3,3,单亲家庭,微博,,0
###,结婚的目的是为了双方共同缔结家庭，更幸福吧！一个寄生虫，一个吸血的家庭，还能干嘛!拉姆的遇才多久前!五四运动运动不到一百年，恋爱自由，很多人就忘了吗!不知道还以为是封建社会!女人嫁给你就是做牛做马吗？,1,2,,1,2,,妇女,微博,,0
###,影响还是有，我感受就是感情上没安全感。其实还是小俩口的问题跟父母没关。我遇到的第一个单亲的就是家里巨富，交往前感觉很知书达礼，交往后就没安全感到影响正常交往。所以评论区说谁都有心理问题我觉得是对的，但是单亲集中反响在男女交往上了,1,3,2,1,3,2,单亲家庭,微博,,1
###,别在这偷换概念，其他举报被打击报复是他们的事，我们民政行业的因为一个信访件一封举报信凌晨两点加班处理的都有，你拿前朝的剑来斩本朝的官我觉得不合适开学季,1,2,,1,2,,伤残人员,微博,,0
###,眼泪不由自主的流下来泪],0,,,0,,,老人,微博,,0
###,稳是稳，不利因素下收入可能会下降，于是生活会比较困难了，不过哪天真的这样了体制外就更难混了。杭州的编还是很香的,0,,,1,3,2,普通人,微博,,0
###,我们都在努力的活着！加油,0,,,0,,,弱势地位群体,微博,,0
###,计算机都整蒙了，程序员设计户口程序的时候，没写死了销户后又活过来的代码啊汗],1,2,,1,2,,老人,微博,,0
###,这个世界就是这么寒冷,1,3,1,1,3,1,弱势地位群体,微博,,3
###,我真是看不了这样的事儿了，太难受了,1,3,3,1,3,3,普通人,微博,,0
###,不会，不说基本上就没人知道,0,,,0,,,单亲家庭,微博,,0
###,只能自己注意了，我现在出门都特别小心，靠警察反正靠不住了。,1,1,,1,1,,普通人,微博,,0
###,顶顶，底层民众最苦难?,1,3,2,1,3,1,弱势地位群体,微博,,2
###,低保都得是村干部的亲戚允悲],1,1,,1,1,,弱势地位群体,微博,,0
###,如果要藏一定要做的滴水不漏。小孩子万一自己发现了会有强烈被双亲欺骗背叛的感觉。,1,3,2,1,3,2,单亲家庭,微博,,1
###,看头像就看出来了男宝基本盘,1,1,,1,1,,妇女,微博,,0
###,他这样都不算需要的人，那你认为什么样的人算需要的人。如果一百块是你全部的收入，你觉得你每个月一百块活得下去吗？我爸有我们，要是其他残疾人没有人照顾呢？,1,3,1,1,3,1,伤残人员,微博,,3
###,家属自己掀开帘子确认，难道就没责任？自己亲人都认错还好意思说别人,1,1,,1,1,,老人,微博,,0
###,"""""""""""""""为什么要理由啊？想就不就救了""""""",1,3,1,1,3,1,儿童,微博,,3
###,这肯定不是单品的问题呀，就算他爸妈没离婚，他也会这么说；就算他妈再婚，他也会这么说，关键是，他的思维决定了他一定会这么说,1,3,1,1,3,1,单亲家庭,微博,,3
###,欠债还钱天经地义，但有些人仗着权势就可以为所欲为，这世道怎么了？不希望这样的新闻再出现，让我们共同维护法律尊严,1,3,2,1,3,3,弱势地位群体,微博,,1
###,城里还好，乡镇的都是熟人，别说没收了到现场人家先把你小名喊出来了二哈],0,,,0,,,弱势地位群体,微博,,0
###,国家应该严查吃低保的，我知道的就好几个家里条件很好的在吃低保，月收入过万的也是低保户，太特么坑了…,1,2,,1,2,,弱势地位群体,微博,,0
###,我能救它／我能活着一定程度上是因为我运气还不错，跟我有没有用没什么关系，所以不考虑有没有用。,0,,,0,,,儿童,微博,,0
###,给人家留点路吧，太心疼了悲伤],1,3,3,1,3,3,弱势地位群体,微博,,0
