id,文本,文章名,最终标注,来源,检索关键词
#####,郑州勾机那个也是讨薪的，让警察蹦死了怒],,0,微博,弱势地位群体
#####,有些福利制度还的学国外，送口罩的，送血氧仪的，送医送药?的都心烦,,0,微博,伤残人员
#####,偷手机的小偷碧斯,,0,微博,普通人
#####,善17—21当代青年是同新时代共同前进的一代。我们面临的新时代，既是近代以来中华民族发展的最好时代，也是实现中华民族伟大复兴的最关键时代。广大青年既拥有广阔发展空间，也承载着伟大时代使命。,每日一善?#阳光信用#  ?#每日一善#古今中外，残疾人身残志不残、自尊自立、奉献社会的奋斗事迹不胜枚举。残疾人完全有志向、有能力为人类社会作出重大贡献。在当代中国，在改革开放进程中，我国残疾人中涌现出一大批像张海迪那样的自强模范，他们是改革开放大潮的弄潮儿，他们的事迹感人至深、催人泪下，激励了全社会的奋发自立精神。他们身上的精神就是自强不息精神，就是我们的民族精神、时代精神，也是社会主义核心价值观的应有之义。,0,微博,伤残人员
#####,别尬黑，18岁才能打游戏[飙泪笑],,0,微博,儿童
#####,生命的广阔，不是跟合适的人相处得投机，而是与不堪的人周旋得从容。,每日一善 ?#阳光信用#  ?#每日一善#自尊，自立，自强，自信。健全人可以活出精彩的人生，残疾人也可以活出精彩的人生。我们每个人都要珍惜生命、追求健康，努力创造无愧于时代的精彩人生。,0,微博,伤残人员
#####,儿子真孝顺，你爸都不要你了，还给他送终！,,0,微博,单亲家庭
#####,拉回家土葬的不孝顺子女,,0,微博,老人
#####,这是性骚扰了报警吧下次不一定干出嘛事呢,#天津#@菜酱阿鱼：公司（前公司，已离职）妇女节当天给我们四个女员工发了礼物，一个睡衣还有一个小的香薰，睡衣如下图，公司两位女领导说是大领导给我们买的（大领导是单身油腻男），所以说这个我心里就有点膈应，但也没多说什么，送礼物的时候也一直让我们回去穿了拍照，我们就当玩笑，也没在意，结果当天晚上在公司大群发这种消息，我也没回复，觉得很不舒服，第二天去公司，把我另外两个同事拉进办公室（就是睡衣没拿回家的），强迫人家在他们办公室换睡衣，还在一旁笑，我们都能听得见，我们在外面坐着，还有男员工，跟他们办公室就隔了一层磨砂玻璃门，真的很尴尬，很无语，这不是纯纯的职场霸凌是什么。,0,微博,妇女
#####,馒头滞销了[大哭],https://www.zhihu.com/answer/2333032819,0,知乎,老人
#####,那你说什么屁话，犟嘴一张由你说？,,0,微博,伤残人员
#####,说当好！我发现好多人不能清楚的认识自己不清楚自己屁股该坐哪一边不知道该为谁发声,如何看待轮椅上的小仙女陈小平因无障碍坡道坡度太高而导致轮椅侧翻，摔倒后重伤去世一事？,0,知乎,妇女
#####,没事多练肌肉谁欺负你不爽就揍,,0,微博,弱势地位群体
#####,也就喊喊口号了，话说看到ip我要抬下杠，长沙的风尘味儿之重我只在拆散之前的东莞感受过，这个打掉打的有点歪啊[大笑],https://www.zhihu.com/answer/2579796624,0,知乎,普通人
#####,我小的时候，大概00年左右，弱势地位群体（村里的」孩子根本接触不到电脑，例如足球篮球会的人很少很少。城里人比起村里人，真的是会玩很多,弱势地位群体家的孩子不能拥有娱乐吗？,0,知乎,儿童
#####,诚心发问:如果别人口头攻击你你加以反击，别人看到你攻击性这么强不会想要挑战你吗？强硬好难把握那个度,什么样的人容易被人欺负？,0,知乎,弱势地位群体
#####,争不赢了吗，继续说啊打call],,0,微博,伤残人员
#####,抱抱，你一定会越来越好的,https://www.zhihu.com/answer/1038554946,0,知乎,单亲家庭
#####,婚生孩子没这个问题是吧,,0,微博,单亲家庭
#####,（胖友，你是会老滴，衰老在生理上就是一种“残疾”过程只要我没道理，那我就重新定义。直到定义到我想要的意思惊喜],如何看待轮椅上的小仙女陈小平因无障碍坡道坡度太高而导致轮椅侧翻，摔倒后重伤去世一事？,0,知乎,妇女
#####,还要钱？还有王法吗！还有法律吗？,,0,微博,弱势地位群体
#####,别的不说，非要把人早早叫起床我是万万不能忍多捂脸],为什么现在很多人对家里的老人都感到很反感？,0,知乎,老人
#####,这都可以报警了,#天津#@菜酱阿鱼：公司（前公司，已离职）妇女节当天给我们四个女员工发了礼物，一个睡衣还有一个小的香薰，睡衣如下图，公司两位女领导说是大领导给我们买的（大领导是单身油腻男），所以说这个我心里就有点膈应，但也没多说什么，送礼物的时候也一直让我们回去穿了拍照，我们就当玩笑，也没在意，结果当天晚上在公司大群发这种消息，我也没回复，觉得很不舒服，第二天去公司，把我另外两个同事拉进办公室（就是睡衣没拿回家的），强迫人家在他们办公室换睡衣，还在一旁笑，我们都能听得见，我们在外面坐着，还有男员工，跟他们办公室就隔了一层磨砂玻璃门，真的很尴尬，很无语，这不是纯纯的职场霸凌是什么。,0,微博,妇女
#####,没办法，嘲笑社会总是会有人反对的,,0,微博,儿童
#####,小东西，出生了真是可惜了,,3,微博,儿童
#####,我佩服他，我真的佩服他，但是自己取名字叫励志…然后拍视频配上励志感人的音乐…总让我觉得怪怪的,失去下肢是怎么生存的？,0,知乎,伤残人员
#####,还以为是大猛[好奇],https://www.zhihu.com/answer/2333032819,0,知乎,老人
#####,我心想，我从小有那么多人爱我，还有一个很好的玩伴，我童年并不悲惨，为什么我就可怜了？我成年了还不知道我自己日子过得好不好，自此以后我再也不和她像之前那样玩得好了。,,0,微博,单亲家庭
#####,伤残人士的心理健康问题更容易被忽视。,,0,微博,伤残人员
#####,举报的人应该去偏远山区，见到未成年怀孕的都举报一遍,,0,微博,儿童
#####,他们难道天天鲍鱼龙虾吗允悲],,0,微博,普通人
#####,来吧，每个人头上都长角。对准同一个目标[酷],,0,微博,儿童
#####,笑着笑着，眼泪出来了,蜜雪冰城非法雇佣15岁的辍学女儿童被罚1.25万元，这是帮助了她还是害了她呢？,0,知乎,儿童
#####,看了这篇文，才知道原来当年我也在不知不觉中欺负了同班的不受欢迎的同学,,0,微博,儿童
#####,因为没去捡几个茅台瓶子摆在家里！,,0,微博,弱势地位群体
#####,不会啊，现在离婚还是挺普遍的允悲],,0,微博,单亲家庭
#####,妹妹，不是你没被他们坚定地选择，是因为你首先都没有看见你自己呀！我知道改变心态比较难，但你要清楚一个事实：这世上值得你付出真心的人其实非常非常少，甚至没有，值得付出真心的男性，几乎为零。所以你需要有所保留，这是对你自己的保护。那天看见一句话年少不可得之物，终将困其一生,【小紫晚上好啊，我不知道是不是因为自己性格的原因，从来没有被别人坚定的选择过。  先说一下我个人情况吧，我是单亲家庭，我妈妈大概在我刚上幼儿园的时候就因为癌症去逝了，在我的脑海里有关妈妈的记忆真的屈指可数，小学放假和周末的时候我都去我姥姥家，我姥姥格外的心疼我，直到现在我还认为我姥姥是除了我妈妈以外这个世界上最疼我的人。我姥姥家没钱，之前是靠我姥爷推着小车卖豆芽为生，但是我姥姥对我从不吝啬，我妈走的没几年我姥爷突然得了脑萎缩，我目睹了我姥爷从一个正常人渐渐变成了一个失去认知，甚至连吃喝拉撒都不知道，瘦到皮包骨头，直至去逝的过程。在我姥爷得病的这么多年，一直都是我姥姥在悉心照看他，除非有时候我姥爷发病我姥姥实在控制不了的时候才会去喊我舅舅来把姥爷给控制住。我姥爷去逝没几年，在我上六年级的时候突然传来了噩耗，我姥姥大早上出门的时候被车撞了，当场去世… 就这样，我失去了最疼爱我的人和我最爱的人，我都还没来得及长大孝顺她，她就这么走了，这是我这辈子最最遗憾的事。我觉得我姥姥命也很苦，我姥爷年轻的时候参加过抗美，援chao，我姥姥自己在家也肯定担惊受怕，晚年丧女，百发人送黑发人，后来又要照顾完全丧失自理能力的姥爷，送走了姥爷以后，原本以为某种程度上对姥姥算是一种“解脱”，可后来又出了车祸…就这样结束了一生。  我的爸爸是个性格软弱、胆小内向，十分会过（抠门的意思），没有情商，没有社交和朋友，也不会说话的人，他后来又和我现在这个后妈再婚了，我和后妈关系很一般，顶多算得上是维持表面吧。在这个家里，我很少感受到爱，甚至是几乎没感受过爱，和正常的家庭不一样，所以我也不会爱别人，不会表达爱，更不懂得如何与别人建立亲密关系。  因此，我是个十分敏感、自卑，内向的人，上小学的时候自己总是被我那个男同桌欺负，当时的自己也特别软弱，我在班里没有朋友，记得上体育课的时候我都自己灰溜溜的去个没人的地方呆着，后来在班里才有了几个朋友。  因为从小我受我爸爸的影响，不敢花钱，不舍得花，比起其他的女生，应该很少能找到比我还舍不得花钱的人了，也是因为这个，我一想到如果和我喜欢的人去逛街，要是遇到的东西我觉得有点贵怎么办，就会特别特别的焦虑，心理负担就特别重，我没法像别的女孩那样，很自然的和男孩逛街，甚至感觉自己这样有点病态。  我25了，直到现在还是牡丹，我以前遇到喜欢的人是属于把他憋在心里自己默默的暗恋的那种，好像属于回避型依恋人格，性单恋的那种，我感觉自己心理有问题，尽管我在很努力的表现得想和“正常人”一样，我觉得自己很不完美，也没钱，感觉很自卑，一想到自己如果和喜欢的男生一起出去逛街就会开始害怕万一买东西遇到贵的怎么办，万一很尴尬怎么办…就焦虑的不行。  在大学的时候遇到过一个心动的男生，鼓起勇气加了联系方式，结果他吊着我，后来聊着聊着他就和前任复合了，他就把我删了，那段日子我真的特难熬。后来又遇到一个男同学，他是一个老手了，也很油嘴滑舌，寒假和他微信聊了两个月，暧昧了两个月，开学后见了面就阴差阳错的因为一个矛盾他把我删了，然后接着和他以前追求过女的无缝衔接了，正好那个女的和前任分手了，于是我又被“抛弃”了，当时觉得自己天都塌了，自己没出息的在宿舍哭了好几天，好几个月才彻底走出来，现在想想真是丢死人了。  如今毕业两年了，前段时间因为工作认识了一个客户，正好这个客户和我一个同事是好朋友，于是我们加了微信，大概断断续续聊了十天，上星期他约我出来，见面的时候我以为他对我感觉还可以，以为我们有戏，结果见面完他开车送我回家后问了我句到家了吗，然后又聊了一句天之后他就再没找过我了，我真的意想不到，之前还好好的，见完面他就不找我了。他家做生意的，应该挺有钱的，估计他身边不缺女生，我朋友说可能是他觉得我不是那种会玩儿的女生。其实我长相还算可以，朋友也客观的说我好看，可我每次都是被男生置之不理，每次受伤的都是我，是不是真的是我的问题，是不是我性格太内向的原因，让男生觉得我没意思，我也蛮渴望爱情的，也希望自己能和其他女孩一样拥有一个亲密的恋人去享受恋爱，可是我却从没被人坚定的选择过或者说自己怎么才能做出些改变呢】,1,微博,单亲家庭
#####,所以，及使我不愚蠢不懒惰，努力工作的话，也不会改变我是弱势地位群体的事实。事实是我是一个普通人。,,0,微博,儿童
#####,听说妇女保障法要大修，更加偏护女性，这里面很多条款和婚姻法、劳工法之类都冲突，这是想凌驾其他法律之上吗？,当今社会，舆论上到底男性是弱势群体还是妇女是弱势。？,0,知乎,妇女
#####,其实小孩子才是恶魔，他们还没有对是非观建立清楚的概念，所以很容易随从大流，你欺负他，那我也欺负他，我不跟大家一样就会遭受白眼。儿童成为无限循环。,儿童的严重程度被夸大了吗？,0,知乎,儿童
#####,世界先爱了我，我不能不爱它汪曾祺,虞书欣? #与虞书欣共赴微博之夜# ? #虞书欣# ? #阳光信用# ? #每日一善#  自尊，自立，自强，自信。健全人可以活出精彩的人生，残疾人也可以活出精彩的人生。我们每个人都要珍惜生命、追求健康，努力创造无愧于时代的精彩人生。 @虞书欣Esther ,0,微博,伤残人员
#####,今天的饭菜口味不对。,https://www.zhihu.com/answer/2333032819,0,知乎,老人
#####,没事，欧盟和米国会给钱的，现在先提供武器，先打，打完再建嘛。,【联合国：#乌克兰重建成本达4110亿美元#】联合国、世界银行、欧盟委员会和乌克兰发布一份联合评估报告，称俄乌冲突一年乌克兰需要耗费10年以上进行重建，乌克兰的重建成本已经达到4110亿美元，其中建筑和基础设施直接损失达到1350亿美元，社会经济损失达到2900亿美元。报告表示，乌克兰重建成本是乌克兰2022年国内生产总值的2.6倍，需求最高的是运输，占到22%，住房占到17%，能源占到11%，最需要重建的地区是顿涅茨克、哈尔科夫、卢甘斯克和赫尔松。报告还表示，冲突还对人们生命、生计都带来直接损失，让710万人陷入了贫困，直接扭转过去15年的发展成果，尤其还加剧了不平等，对妇女、儿童、残疾人造成影响最为严重。 凤凰周刊的微博视频,0,微博,伤残人员
#####,真tm闹心…,#天津#@菜酱阿鱼：公司（前公司，已离职）妇女节当天给我们四个女员工发了礼物，一个睡衣还有一个小的香薰，睡衣如下图，公司两位女领导说是大领导给我们买的（大领导是单身油腻男），所以说这个我心里就有点膈应，但也没多说什么，送礼物的时候也一直让我们回去穿了拍照，我们就当玩笑，也没在意，结果当天晚上在公司大群发这种消息，我也没回复，觉得很不舒服，第二天去公司，把我另外两个同事拉进办公室（就是睡衣没拿回家的），强迫人家在他们办公室换睡衣，还在一旁笑，我们都能听得见，我们在外面坐着，还有男员工，跟他们办公室就隔了一层磨砂玻璃门，真的很尴尬，很无语，这不是纯纯的职场霸凌是什么。,0,微博,妇女
#####,怎么不说长得不好看的别结婚了肯定基因不好啊，而且提到单亲就是性格差难帮衬，提到兄弟姐妹就是吸血和拖后腿，真不知道现在人是独立还是不独立啊汗],,0,微博,单亲家庭
#####,并且现在参与进来了的自媒体虽然都打上了警方回应的tag但是都没提是互殴,合着就是互殴但是这次搞出事了而且因为父母是残疾人所以以此来博取了网友同情心？？？我……………我真的心情复杂了………… ,0,微博,伤残人员
#####,王某文妻子聘请的就是许昕老师团队。徐昕老师还以王某文助手的身份参与与济南司法机关的交涉,,0,微博,弱势地位群体
#####,有钱会不会快乐我不知道，但是没钱真没觉得能多快乐。尤其看到父母买个必要的取暖设备都要思虑良久怎么会开心，那时候唯一想法就是如果能有很多很多钱我去贩毒都行,为什么越长大越难有发自内心的快乐？,0,知乎,弱势地位群体
#####,坚决取缔在华日本学校,#欧阳震华#，一小时内两次发文！3月28日凌晨，欧阳震华在一小时内两次发文，令人没想到的是，欧阳震华一开口就说：“日本在内地建了很多学校，但这些学校没有一个中国学生，全部都是日本人，而且禁止中国人入内”，好家伙，大半夜的欧阳震华这是想说什么呢？网友纷纷好奇，到底是什么事？据悉，这条消息不是来自八卦媒体，而是欧阳震华亲自发文。文中，欧阳震华态度坚决却又半信半疑，既没有说出在哪里得知这件事，也没有说出这些学校地址在哪儿，让人看地摸不着头脑。不过，有网友联想到，近日有一名50多岁的日本男子被抓，于是忍不住去欧阳震华社交账号发问：“ 难道是日本企业在中国提供给小朋友或者老人的？搞得我也好奇了！”一小时后，欧阳震华再次发文表态：“先旨声明，本人只是活到老，学到老，无意图搞对抗，只想有一个解释，一间学校无需这样封闭教育，如果在中国兴建日本学校不能给中国人参与小朋友的教育，甚至不能靠近，真是百思不得其解”。网友纷纷惊讶，并继续追问欧阳震华：“胖胖，你今天怎么像爱国大V一样义愤填膺？我也很好奇，不能靠近也太奇怪了吧？”欧阳震华这次虽然没有再发文，但是有位网友说得好：“华哥这份爱国心没有任何问题！你说的对，真的应该解决！”不过，欧阳震华给网友制造悬念的同时，不仅给网友带来一股正能量，还很好地表明了当下的立场态度，真是一举三得。不老男神难得变爱国大V，怎能让人不印象深刻？,0,微博,老人
#####,很多港台歌曲（我是90年代末听的）都是情歌，歌手扮成痴男怨女去演绎感情故事，听者也将自己带入那种爱而不得、痴情却被辜负的苦情戏中，不知不觉被洗脑了。,中年妇女被流行媒体妖魔化的原因之一在于她们多年摸爬滚打的生存智慧使她们特别容易辨识消费文化的各种PUA，戳破玫瑰色的泡泡?比如我现在已经无法忍受年轻时喜欢的很多港台流行歌曲，歌词细究起来都是“怨妇”心曲，男性创作人PUA“痴情女子”的加花变奏，什么“爱上一个不回家的人”“等你一万年”之类，无论林忆莲还是陈淑桦的好嗓子，都得成为不断传播陈腐性别观、女性依附论的流行音乐工业机器的零件……,0,微博,妇女
#####,善良碰到善良是好事善良碰到邪恶就是地狱。,什么样的人容易被人欺负？,1,知乎,弱势地位群体
#####,那要给你点赞了,有幸在港的几天赶上小摩的活动，受邀出席JP Morgan私人银行的亚洲慈善论坛（Asia Philanthropy Forum 2023），很受震撼。作为招商银行的私行客户，我的客户经理总是很热情地问他们为我们提供的服务如何，询问我们的公司业务，为我们客户间链接更多资源。关注AIGC，关注智能制造，关注生物医疗等等，我们生怕错过任何一个时代发展的机会。而此刻聚在这儿，为我们分享的不是什么经济学家、投资机构、行业巨头，而是诺贝尔和平奖得主，大家关注阿富汗妇女的自由，关注全球难民的生存，也关注孩子们能否接受应有的教育。当然，更关注即使捐钱如何能确保被应用到真正帮助需要的人的地方。可见慈善机构的可靠性是各个地方都普遍存在的问题。希望从事慈善事业的人都怀有一颗善心，而我们每个人也能从小事积累做些力所能及的善事#慈善# 龚凡 香港·香港文华东方酒店,0,微博,妇女
#####,遇到那种高高在上自以为高人一等的人是真的令人无语。要论ego我是最强的。看起来善良就要受气？,什么样的人容易被人欺负？,0,知乎,弱势地位群体
#####,发工资就是为了还各种贷款，还不完的,,0,微博,普通人
#####,我花钱的时候我妈会跟我说人的福报是有限的,没有不爱我妈 我单亲家庭 她把我带大 我怎么可能不爱她 今天看见一个朋友说我不该在网上吐槽我妈 可是我寻思大家评论都很善意 阿姨阿姨的叫  都是希望我俩好 我也没看见有人因为我吐槽骂她啊那还不能有个地方说说了吗 我也经济条件还可以吧为什么要过的跟吃不起饭一样呢我真没少给我妈钱 大家应该可以想到吧到底我为什么要这样今天出门 我妈要求坐公交车前往skp我的窒息感,0,微博,单亲家庭
#####,要不就是职场性骚扰，要不就是家庭，工作不了一点,,0,微博,妇女
#####,我只见过第四个故事[思考],,0,微博,儿童
#####,我爸有一个问题就是你从哪里拿的东西必须要放回到哪里去不然就会说你一大推然后从这件事情上升到你这个人人品有问题以后工作不行生意不行各种否定他会给自己找各种干不了的理由然后给你找各种能贬低你的借口相当受不了,为什么现在很多人对家里的老人都感到很反感？,0,知乎,老人
#####,支持公益，支持正能量呀,#点亮希望寻找光#【点亮行动微事记】中华少年儿童慈善救助基金会@中华儿慈会 星联星@中华儿慈会星联星 -点亮行动公益项目2023启动仪式暨点亮行动公益项目孤独症培训实验活动仪式上，海南省残联党组成员蔡莆明上台致辞。他在发言中提到，省残联将努力进一步完善现有政策，根据孤独症的特点，把基本需求纳入残疾人同步小康指标体系，并建立健全孤独症的康复教育和社会保障政策，构建孤独症生命全程的社会支持体系；我们倡导机构、学校和相关专业人士，深入社区、企事业单位和公共场所，正确宣传，传递科学理念和聚集正能量，为孤独症人士和家庭创建融合的社会环境。他也呼吁更多的人能加入到服务孤独症儿童的队伍当中去，担负起这一责任，努力创造一个公正、仁爱的社会，给予所有人真正的尊严和权利。,0,微博,伤残人员
#####,不错了，我是我们小学第一个读本科的，后边才慢慢重视读书,,0,微博,儿童
#####,特别敏感，悲观，继父不管好不好，永远也替代不了生父,有网友问，单亲家庭对小孩性格成长，影响大不大？就拿我来说吧，小时候我们班级里，我是唯一一个单亲家庭的，当时属于异类了。至于会不会被歧视，会不会自卑，我当时也没有太大感觉，无非是别人问起的时候，有些尴尬。可能是我脸皮比较厚，不内向，而且非常淘气，全班就属我最淘气，我的淘气方式跟别人还不一样，我是自己不淘，专门出馊主意让别人去淘，让老师非常头疼。至于歧视，我们小时候，主要歧视家里没钱买电动文具盒，没钱买电动铅笔，没钱买变形金刚和新衣服的，而这些我都有。至于性格缺陷，也是实打实的存在，比如我就不会做爸爸。因为我从小没经历过，也不知道父子之间如何相处，如果现在给我一个儿子，我还真不知道怎么跟他相处。所以我可能真的不适合有小孩吧。,0,微博,单亲家庭
#####,姐妹，我现在也在经历父母反对的爱情，我也要烦死了,父母不同意的爱情 情况：我，25，职业是公务员，年收入9万，到手7万左右，他30，职业是某央企电力系统，年收入20万，到手12万左右，我父母是农场的，家里有个弟弟，条件就是有车有房在农村，他是单亲家庭，爸爸目前没工作，有个姐姐结婚了，家里在镇上有一栋三层楼房，一楼是铺面。我妈妈反对，觉得我要找个公务员，觉得我没有婆婆以后没人带孩子，又嫌弃他们村那边的人各种，我要烦死了。在一起已经同居一年了，不知道要不要坚持了。,0,微博,单亲家庭
#####,现在她的子女都不愿意跟她生活在一起了，跟她生活在一起太累了，我们都尽量给她做好物质保障就是了，以后走不得了再照顾她,为什么现在很多人对家里的老人都感到很反感？,1,知乎,老人
#####,很多人都不想成为大多数但事实就是很多人都是大多数,,2,微博,儿童
#####,好开，举办和私信总得选一个。,https://www.zhihu.com/answer/2579796624,0,知乎,普通人
#####,生病和饿的孩子，对社达而言是可以救的，因为那是外部因素导致的。不是这个孩子自己的问题,,1,微博,儿童
#####,我有一些私信联系的虾友都是和我一样以前从来都不关注娱乐圈的一批人，大家都是经济独立又思想稳定的同担，对于他就是纯粹的喜欢与信任，我喜欢纯粹有智慧的人，交流不累，大家的共鸣就是他有绝对的实力和更美好的未来，我们都会长长久久的陪伴他，我们这波曾经的路人就是正道的光的最佳体现！,22,0,微博,普通人
#####,事实是，在中国很多富二代根本不用努力，钱就够十代人奢侈消费花的。,,1,微博,儿童
#####,“对于大量社会生活中的缺陷，只要不是大事，都先甩回给民间自行消化要是真放权给民间自行消化倒也好了。,如何看待轮椅上的小仙女陈小平因无障碍坡道坡度太高而导致轮椅侧翻，摔倒后重伤去世一事？,0,知乎,妇女
#####,老爷2700套房子总不能都放二十多的吧？,,0,微博,儿童
#####,好好高考，远离他们,,1,微博,儿童
#####,专业的事跟着专业的人一起做，不要被打到残废才想起练武功，不要被输的精光才想起寻求帮助，亡羊补牢也要趁早#民间說股市#,有幸在港的几天赶上小摩的活动，受邀出席JP Morgan私人银行的亚洲慈善论坛（Asia Philanthropy Forum 2023），很受震撼。作为招商银行的私行客户，我的客户经理总是很热情地问他们为我们提供的服务如何，询问我们的公司业务，为我们客户间链接更多资源。关注AIGC，关注智能制造，关注生物医疗等等，我们生怕错过任何一个时代发展的机会。而此刻聚在这儿，为我们分享的不是什么经济学家、投资机构、行业巨头，而是诺贝尔和平奖得主，大家关注阿富汗妇女的自由，关注全球难民的生存，也关注孩子们能否接受应有的教育。当然，更关注即使捐钱如何能确保被应用到真正帮助需要的人的地方。可见慈善机构的可靠性是各个地方都普遍存在的问题。希望从事慈善事业的人都怀有一颗善心，而我们每个人也能从小事积累做些力所能及的善事#慈善# 龚凡 香港·香港文华东方酒店,0,微博,妇女
#####,善良却被认为是你笨蛋，出手大方被认为是傻子是应该的，学着适当厉害一点，不能太好脾气，有人欺负就怼回去，又没白吃你家大米，不欠谁的！,什么样的人容易被人欺负？,2,知乎,弱势地位群体
#####,所以我能理解他们，也很爱他们；但是我对自己无能为力；于是就很悲剧。,,0,微博,弱势地位群体
#####,欺负人的可能没觉得什么，但受欺凌者往往难以走出阴影，甚至可能影响一生,儿童的严重程度被夸大了吗？,1,知乎,儿童
#####,肯定有这种事，但这样的学校应该还是少数极品。高中第一天，我班主任就说什么都可以商量，但是开展校园暴力的人必须滚蛋。我就安安稳稳的度过了高中。,大家如何看待太原师范学院「女生自述遭受室友的儿童」事件？,0,知乎,妇女
#####,我觉得吧。电视剧也是有影响的。尤其是现在这么多电子设备，小兔崽子们想看什么不容易啊。在电视剧电影里学了个一招半式的，就可以对同学下手啊。,儿童的严重程度被夸大了吗？,0,知乎,儿童
#####,就是老年痴呆，但这些事也不全是因为老年痴呆,为什么现在很多人对家里的老人都感到很反感？,0,知乎,老人
#####,比打游戏比赛获奖有意义得多,#强国一代有我在#【恭喜！这个#听力神经断裂的00后夺得世界冠军#】当地时间3月25日，第十届国际残疾人职业技能竞赛在梅斯落下帷幕，来自中国代表团的29名选手参加了9个类别20个项目的竞赛，获得6金7银7铜的成绩。其中，“00后”小伙郑云海，获食品雕刻项目金牌。2002年，郑云海6岁时因为意外加上医治不及时，导致听力神经断裂，只能靠戴助听器才能正常交流。初三毕业，郑云海入读杭州第一技师学院中式烹饪专业。在他心中，食品雕刻是和石雕、木雕一样的技艺，“我期望带来更多有生命感的作品，把食品雕刻带上更高的水平。”热点 | 恭喜！这个“00后”，世界冠军,0,微博,伤残人员
#####,美国新闻都能发现的问题，说明都已经非常普遍了,0,0,微博,伤残人员
#####,将功赎罪，应该的,被儿童过的人后来都怎么样了？,1,知乎,儿童
#####,所以我们需要人文思想，也需要共产主义，很喜欢一部苏联电影的台词“同志，我们这里只有残疾，没有残废”,,1,微博,儿童
#####,漂亮，不能做的占全了我就是纯纯的讨好型人格,,0,微博,弱势地位群体
#####,兄弟，都2022年了，还卖读者这种鸡汤小故事，大家又不是没出过国。,“弱势地位群体”面馆就餐被拒你怎么看？,0,知乎,弱势地位群体
